part_number,description,status,lifecycle_state,revision,supplier,unit_of_measure
AB-1001,Capacitor 10uF 16V,OBSOLETE,End-of-Life,C,Capacitor Supply Co.,EA
AB-1002,Capacitor 10uF 25V,ACTIVE,Production,A,Electro Components Ltd.,EA
AB-2001,Resistor 100ohm,ACTIVE,Production,B,Resistor Solutions Inc.,EA
1001234,Support bracket assembly,ACTIVE,Production,A,Fabrication Partners,EA
1001235,"Stop bracket, revised",ACTIVE,Production,A,,EA
1001236,"Connector, removed from drawing",ACTIVE,Production,B,Connector Supply Group,BOX
A-100,Control Unit Assembly,ACTIVE,Production,A,Internal,EA
C-100,Safety Fuse 5A,ACTIVE,Production,A,Supplier-A,EA
C-200,Capacitor 10uF,ACTIVE,Production,A,Supplier-B,EA
C-250,Capacitor 10uF Old Version,OBSOLETE,End-of-Life,A,Supplier-B,EA
C-300,Resistor 100 Ohm,ACTIVE,Production,A,Supplier-C,EA
C-400,Replacement Capacitor 10uF,ACTIVE,Production,A,Supplier-B,EA
C-999,Test Component,ACTIVE,Production,A,Supplier-X,EA
C-350,Resistor 100 Ohm Low-Cost,ACTIVE,Production,A,Supplier-D,EA
C-260,Capacitor 10uF Alternate,ACTIVE,Production,A,Supplier-E,EA
